Year,ISO Alpha-2 Country code,Country name,Suspended parliament,Structure of parliament,Region,Structure & status of parliament,Chamber name (translated),Political system,Statutory number of members per country,Parliament name,Parliamentary term (years),IPU membership,Affiliation periods,Statutory number of members,Current number of members,Men,Women,Percentage of women,Population (in thousands),Gender quota,Election date(s)
2019,AF,Afghanistan,No,Bicameral,Asia,Upper chamber,House of Elders,Presidential system,352,Jirga (National Assembly),5,Yes,"from 1990 to 1991
from 2007 to 2022
from 2022",102,68,49,19,27.9,33736,No,1/10/15
2019,AF,Afghanistan,No,Bicameral,Asia,Lower chamber,House of the People,Presidential system,352,Jirga (National Assembly),5,Yes,"from 1990 to 1991
from 2007 to 2022
from 2022",250,248,181,67,27,33736,Yes,2018-10-20 to 2018-10-21
2019,AL,Albania,No,Unicameral,Europe,Lower chamber,Parliament,Parliamentary system,140,Albanian Parliament,4,Yes,from 1955,140,122,86,36,29.5,2923,Yes,6/25/17
2019,DZ,Algeria,No,Bicameral,Middle East and North Africa,Lower chamber,National People's Assembly,Presidential-Parliamentary,606,Barlaman (Parliament),5,Yes,"from 1977 to 1990
from 1993",462,462,,119,25.8,39872,,5/4/17
2019,DZ,Algeria,No,Bicameral,Middle East and North Africa,Upper chamber,Council of the Nation,Presidential-Parliamentary,606,Barlaman (Parliament),6,Yes,"from 1977 to 1990
from 1993",144,132,123,9,6.8,39872,Yes,12/29/18
2019,AD,Andorra,No,Unicameral,Europe,Lower chamber,General Council,Parliamentary system,28,Consell General (General Council),4,Yes,from 1995,28,28,15,13,46.4,78,,4/7/19
2019,AO,Angola,No,Unicameral,Sub-Saharan Africa,Lower chamber,National Assembly,Presidential-Parliamentary,220,Assembleia nacional (National Assembly),5,Yes,from 1986,220,220,154,66,30,27859,Yes,8/23/17
2019,AG,Antigua and Barbuda,No,Bicameral,Americas,Upper chamber,Senate,Parliamentary system,35,Parliament,5,No,Not applicable,17,17,,9,52.9,100,No,3/26/18
2019,AG,Antigua and Barbuda,No,Bicameral,Americas,Lower chamber,House of Representatives,Parliamentary system,35,Parliament,5,No,Not applicable,18,18,16,2,11.1,100,No,3/21/18
2019,AR,Argentina,No,Bicameral,Americas,Lower chamber,Chamber of Deputies,Presidential system,329,Congreso de la nación (National Congress),4,Yes,"from 1933 to 1964
from 1973 to 1975
from 1984",257,257,152,105,40.9,43418,Yes,10/22/17
2019,AR,Argentina,No,Bicameral,Americas,Upper chamber,Senate,Presidential system,329,Congreso de la nación (National Congress),6,Yes,"from 1933 to 1964
from 1973 to 1975
from 1984",72,72,43,29,40.3,43418,Yes,10/22/17
2019,AM,Armenia,No,Unicameral,Europe,Lower chamber,National Assembly,Parliamentary system,132,Azgayin Zhoghov (National Assembly),5,Yes,from 1995,132,132,101,31,23.5,2917,Yes,12/9/18
2019,AU,Australia,No,Bicameral,Pacific,Lower chamber,House of Representatives,Parliamentary system,226,Parliament,3,Yes,"from 1913 to 1929
from 1956",150,150,105,45,30,23800,Yes,5/18/19
2019,AU,Australia,No,Bicameral,Pacific,Upper chamber,Senate,Parliamentary system,226,Parliament,6,Yes,"from 1913 to 1929
from 1956",76,76,39,37,48.7,23800,Yes,5/18/19
2019,AT,Austria,No,Bicameral,Europe,Lower chamber,National Council,Presidential-Parliamentary,244,Parlament (Parliament),5,Yes,from 1890,183,183,111,72,39.3,8679,Yes,9/29/19
2019,AZ,Azerbaijan,No,Unicameral,Europe,Lower chamber,National Assembly,Presidential-Parliamentary,125,Milli Majlis (National Assembly),5,Yes,from 1993,125,119,,20,16.8,9617,No,11/1/15
2019,BS,Bahamas,No,Bicameral,Americas,Upper chamber,Senate,Parliamentary system,55,Parliament,5,No,from 2023,16,16,,7,43.8,387,No,5/24/17
2019,BS,Bahamas,No,Bicameral,Americas,Lower chamber,House of Assembly,Parliamentary system,55,Parliament,5,No,from 2023,39,39,,5,12.8,387,No,5/10/17
2019,BH,Bahrain,No,Bicameral,Middle East and North Africa,Lower chamber,Council of Representatives,Monarchy,80,Al-Majlis Al-Watani (National Assembly),4,Yes,from 2003,40,40,34,6,15,1372,No,2018-11-24 to 2018-12-01
2019,BH,Bahrain,No,Bicameral,Middle East and North Africa,Upper chamber,Shura Council,Monarchy,80,Al-Majlis Al-Watani (National Assembly),4,Yes,from 2003,40,40,,9,22.5,1372,No,12/9/18
2019,BD,Bangladesh,No,Unicameral,Asia,Lower chamber,Parliament,Parliamentary system,350,Jatiya Sangsad (Parliament),5,Yes,"from 1972 to 1974
from 1986 to 2007
from 2009",350,349,276,73,20.9,161201,No,12/30/18
2019,BB,Barbados,No,Bicameral,Americas,Upper chamber,Senate,Parliamentary system,51,Parliament of Barbados (Parlement de Barbade),5,No,Not applicable,21,21,12,9,42.9,284,No,6/5/18
